# SECTION SA
# COLS: smer sas olano sns lsns sr mh kdh smk ps spolu zl vlast dv lead
Polis: 14–20 Jan 2017; 1,359; 27.4; 13.2; 12.2; 10.0; 11.1; 7.4; 5.6; 1.0; 5.9; 4.4; –; –; –; –; –; 14.2
AKO: 2–10 Jan 2017; 1,000; 27.7; 13.1; 8.7; 12.7; 11.5; 7.7; 6.1; 1.2; 7.1; 3.2; –; –; –; –; –; 14.6
Polis: 11–20 Dec 2016; 1,275; 27.7; 15.9; 9.5; 10.6; 11.0; 7.7; 6.0; 1.0; 5.5; 4.0; –; –; –; –; –; 11.8
AKO: 2–9 Dec 2016; 1,000; 26.8; 15.8; 8.0; 14.1; 10.1; 8.4; 7.0; 1.1; 5.5; 2.9; –; –; –; –; –; 11.0
Focus: 23–29 Nov 2016; 1,008; 23.3; 13.6; 8.2; 13.7; 8.8; 7.9; 6.8; 1.2; 5.9; 4.4; –; –; –; –; –; 9.6
AKO: 3–10 Nov 2016; 1,000; 27.5; 15.4; 8.9; 14.4; 10.0; 6.9; 6.1; 1.2; 5.6; 3.5; –; –; –; –; –; 12.1
Focus: 28 Oct–7 Nov 2016; 1,020; 26.9; 12.1; 8.0; 12.8; 8.4; 7.5; 6.7; 1.6; 6.3; 3.9; –; –; –; –; –; 13.1
AKO: 17–22 Oct 2016; 1,000; 27.5; 17.7; 6.4; 15.4; 8.7; 6.2; 7.2; 0.7; 5.9; 3.7; –; –; –; –; –; 9.8
Polis: 15–22 Oct 2016; 1,409; 27.1; 14.0; 8.5; 14.0; 10.1; 6.8; 8.2; 0.5; 4.6; 3.9; –; –; –; –; –; 13.1
AKO: 12–20 Sep 2016; 1,000; 29.6; 17.5; 9.5; 13.1; 11.1; 4.3; 5.8; 0.8; 4.2; 2.6; –; –; –; –; –; 12.1
Focus: 8–14 Sep 2016; 1,009; 27.7; 13.5; 8.2; 12.6; 8.3; 6.8; 7.7; 1.4; 6.0; 3.6; –; –; –; –; –; 14.2
Focus: 11–16 Aug 2016; 1,002; 27.0; 13.7; 9.7; 14.0; 8.9; 6.9; 6.1; 1.4; 4.6; 3.6; –; –; –; –; –; 13.0
AKO: 22–28 Jul 2016; 1,000; 29.9; 17.1; 7.0; 14.0; 11.6; 5.0; 6.3; 1.0; 4.1; 2.8; –; –; –; –; –; 12.8
Polis: 25 Jun–1 Jul 2016; 1,433; 26.2; 16.6; 9.0; 13.5; 10.7; 4.8; 5.4; 1.1; 5.1; 4.5; –; –; –; –; –; 9.6
Focus: 14–20 Jun 2016; 1,003; 26.4; 14.1; 9.9; 14.5; 8.4; 6.9; 5.9; 1.4; 4.8; 3.5; –; –; –; –; –; 11.9
AKO: 4–11 May 2016; 1,000; 29.8; 16.2; 7.1; 12.4; 11.7; 5.8; 7.1; 1.8; 4.2; 3.4; –; –; –; –; –; 13.6
Focus: 3–9 May 2016; 1,003; 28.7; 13.0; 8.8; 11.2; 8.9; 5.9; 6.0; 3.5; 4.3; 4.0; –; –; –; –; –; 15.7
Polis: 22–29 Apr 2016; 1,502; 30.7; 14.5; 9.5; 12.2; 9.8; 4.2; 6.0; 2.0; 3.9; 4.2; –; –; –; –; –; 16.2
AKO: 4–7 Apr 2016; 1,000; 28.8; 16.2; 6.9; 13.7; 10.9; 5.4; 6.5; 1.8; 4.4; 3.8; –; –; –; –; –; 12.6
Focus: 11–16 Mar 2016; 1,023; 27.5; 12.5; 10.0; 11.1; 8.8; 7.8; 5.9; 3.6; 4.1; 4.3; –; –; –; –; –; 15.0
Polis: 10–14 Mar 2016; 1,096; 30.0; 15.9; 11.0; 11.9; 9.5; 4.4; 5.3; 2.3; 3.9; 4.7; –; –; –; –; –; 14.1
2016 elections: 5 Mar 2016; —; 28.3; 12.1; 11.0; 8.6; 8.0; 6.6; 6.5; 5.6; 4.9; 4.1; –; –; –; –; –; 16.2
